Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
Pseudocheirus peregrinus,Isoodon obesulus,Miniopterus orianae,Dasyurus maculatus,Macrotis lagotis,Sarcophilus harrisii,Nyctophilus corbeni,Leporillus conditor
Pseudomys fumeus,Leggadina forresti,Myotis macropus,Dendrolagus bennettianus,Miniopterus orianae,Sminthopsis leucopus,Nyctophilus geoffroyi,Macroderma gigas
Pseudomys novaehollandiae,Leporillus conditor,Ningaui ridei,Dendrolagus lumholtzi,Myotis macropus,Tachyglossus aculeatus,Nyctophilus gouldi,Macroglossus minimus
Pteropus poliocephalus,Macropus fuliginosus,Notamacropus agilis,Dobsonia magna,Myrmecobius fasciatus,Thylogale billardierii,Ornithorhynchus anatinus,Macropus fuliginosus
Pteropus scapulatus,Macropus giganteus,Notomys alexis,Echymipera rufescens,Ningaui ridei,Trichosurus vulpecula,Osphranter robustus,Macrotis lagotis
Rattus fuscipes,Macrotis lagotis,Notomys aquilo,Falsistrellus tasmaniensis,Ningaui yvonneae,Vespadelus darlingtoni,Osphranter rufus,Melomys burtoni
Rhinolophus megaphyllus,Mastacomys fuscus,Notomys fuscus,Hemibelideus lemuroides,Notamacropus eugenii,Vespadelus regulus,Ozimops petersi,Mesembriomys gouldii
Saccolaimus flaviventris,Melomys burtoni,Notoryctes typhlops,Hipposideros ater,Notamacropus rufogriseus,Vespadelus vulturnus,Ozimops planiceps,Mesembriomys macrurus
Scotorepens orion,Melomys cervinipes,Nyctophilus arnhemensis,Hipposideros cervinus,Notomys alexis,Vombatus ursinus,Ozimops ridei,Miniopterus orianae
Sminthopsis murina,Micronomus norfolkensis,Nyctophilus daedalus,Hipposideros diadema,Notomys cervinus,,Perameles gunnii,Myotis macropus
Tachyglossus aculeatus,Miniopterus australis,Nyctophilus geoffroyi,Hipposideros semoni,Notomys fuscus,,Perameles nasuta,Myrmecobius fasciatus
Trichosurus cunninghami,Miniopterus orianae,Nyctophilus walkeri,Hipposideros stenotis,Notomys mitchellii,,Petauroides volans,Ningaui ridei
Trichosurus vulpecula,Myotis macropus,Onychogalea unguifera,Hydromys chrysogaster,Notoryctes typhlops,,Petaurus australis,Ningaui timealeyi
Vespadelus darlingtoni,Myrmecobius fasciatus,Osphranter antilopinus,Hypsiprymnodon moschatus,Nyctophilus corbeni,,Petaurus breviceps,Ningaui yvonneae
Vespadelus regulus,Ningaui yvonneae,Osphranter bernardus,Isoodon auratus,Nyctophilus geoffroyi,,Petaurus norfolcensis,Notamacropus agilis
Vespadelus vulturnus,Notamacropus dorsalis,Osphranter robustus,Isoodon macrourus,Nyctophilus gouldi,,Petaurus notatus,Notamacropus eugenii
Vombatus ursinus,Notamacropus parma,Osphranter rufus,Isoodon peninsulae,Nyctophilus major,,Petrogale penicillata,Notamacropus irma
Wallabia bicolor,Notamacropus parryi,Ozimops cobourgianus,Lagorchestes conspicillatus,Onychogalea frenata,,Phascogale tapoatafa,Notomys alexis
,Notamacropus rufogriseus,Ozimops lumsdenae,Lasiorhinus krefftii,Ornithorhynchus anatinus,,Phascolarctos cinereus,Notomys mitchellii
